            CP nsplit rel error xerror       xstd
1  0.432000000      0     1.000  1.000 0.05005229
2  0.032000000      1     0.568  0.568 0.04230546
3  0.030000000      2     0.536  0.556 0.04197515
4  0.020000000      4     0.476  0.524 0.04105572
5  0.018000000      5     0.456  0.528 0.04117381
6  0.012000000      7     0.420  0.500 0.04032751
7  0.008000000     10     0.384  0.496 0.04020277
8  0.004000000     16     0.332  0.484 0.03982263
9  0.002666667     41     0.224  0.536 0.04140723
10 0.002000000     44     0.216  0.540 0.04152259
11 0.001600000     83     0.136  0.588 0.04283915
12 0.001333333    114     0.084  0.640 0.04413324
13 0.000800000    128     0.064  0.664 0.04468739
14 0.000000000    143     0.048  0.668 0.04477721
